climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
8990,50.9167,6.1167,SBee,75,16,260,16,55,88,250,268
8998,51.9667,7.6333,SBee,78,9,285,9,69,86,281,293
9012,51.7,7.8333,SBee,92,5,293,5,77,99,266,317
9020,51.8833,6.6667,SBee,77,15,287,14,62,90,268,340
9027,51.95,7.1833,SBee,80,16,273,16,52,102,250,293
9035,51.7,7.75,SBee,92,16,272,16,79,113,259,291
9060,52.0833,7.4833,SBee,92,5,294,3,74,108,288,303
9087,51.5833,7.0667,SBee,88,9,283,9,77,97,267,300
9109,52.0833,8.5167,SBee,81,14,280,14,59,108,265,289
9113,51.6833,8.5667,SBee,81,8,279,3,68,99,274,288
9121,51.9,9.1667,SBee,83,10,295,10,73,115,275,311
9138,52.2,8.6,SBee,89,9,285,9,84,100,272,293
9143,52.15,8.8,SBee,81,16,287,16,47,102,267,317
9155,51.8333,9.0667,SBee,85,10,296,10,79,103,276,323
9161,51.9833,8.6667,SBee,84,16,277,16,70,111,257,295
9164,52.1,8.9333,SBee,98,7,282,13,88,110,260,314
9180,52.3,8.9167,SBee,91,8,288,8,80,108,281,298
9187,52.25,8.7333,SBee,85,7,287,7,78,99,267,300
9198,51.7333,8.6833,SBee,79,16,283,16,59,104,266,299
9199,51.7667,8.6667,SBee,84,4,314,4,78,88,314,316
9200,51.7333,8.7167,SBee,95,7,303,7,85,104,292,309
9202,51.5833,9.25,SBee,78,16,284,16,59,97,267,314
9203,51.5833,9.3,SBee,89,16,272,16,73,108,265,283
9213,51.9167,8.3833,SBee,86,9,296,9,73,103,184,325
9269,51.6667,8.35,SBee,79,12,281,12,66,95,269,293
9275,51.6167,8.3333,SBee,97,11,281,11,86,104,275,289
9326,51.5,8.05,SBee,77,13,268,13,64,87,258,288
9374,51.5833,7.6667,SBee,76,6,299,6,65,86,277,329
9379,51.5833,7.8833,SBee,82,7,282,7,71,100,270,300
9401,49.6667,8.65,SBee,75,8,284,8,70,83,268,299
9429,49.8,8.6,SBee,70,13,287,12,57,84,268,308
9443,49.8833,9,SBee,88,3,272,8,79,102,251,300
9462,49.7833,9.0333,SBee,90,10,303,10,73,109,288,314
9468,50.3333,8.75,SBee,81,10,272,10,73,94,260,285
9478,50.4,8.8167,SBee,82,13,263,13,63,95,256,270
9490,50.5167,8.8167,SBee,85,16,272,16,64,111,263,291
9501,49.9667,8.5667,SBee,78,15,272,12,66,91,254,321
9504,50.6333,9.45,SBee,90,5,291,5,79,108,286,298
9534,50.8167,8.7833,SBee,75,7,280,8,69,86,264,304
